cluster,gene,score
17,ENSG00000158258,35.492355
17,ENSG00000145526,35.283913
17,ENSG00000184672,35.27716
17,ENSG00000169933,35.022366
17,ENSG00000172995,34.87601
17,ENSG00000120549,34.836536
18,ENSG00000159216,33.03081
18,ENSG00000253496,32.796143
18,ENSG00000038945,32.394257
18,ENSG00000120594,32.393917
18,ENSG00000171310,32.329693
18,ENSG00000145819,32.25001
18,ENSG00000073849,32.015587
18,ENSG00000172985,31.807474
18,ENSG00000077420,31.66365
18,ENSG00000118785,31.64037
19,ENSG00000152128,31.078926
19,ENSG00000081237,30.659536
19,ENSG00000145819,30.535538
19,ENSG00000018280,30.430527
19,ENSG00000096060,30.427923
19,ENSG00000082074,29.938808
19,ENSG00000148655,29.626587
19,ENSG00000165181,29.271107
19,ENSG00000139083,29.230673
19,ENSG00000120594,29.081709
20,ENSG00000151789,32.18452
20,ENSG00000149972,31.909985
20,ENSG00000198010,31.698513
20,ENSG00000183166,31.391142
20,ENSG00000149256,30.960974
20,ENSG00000005108,30.912706
20,ENSG00000175497,30.635454
20,ENSG00000151952,30.575436
20,ENSG00000182256,30.546196
20,ENSG00000146555,30.345623
21,ENSG00000177575,28.187126
21,ENSG00000124491,27.709099
21,ENSG00000163694,27.501648
21,ENSG00000260314,26.644314
21,ENSG00000248905,26.567287
21,ENSG00000137462,26.034584
21,ENSG00000148655,25.582232
21,ENSG00000146376,25.4812
21,ENSG00000170776,25.474379
21,ENSG00000158270,24.908226
22,ENSG00000081237,16.551497
22,ENSG00000054654,15.604484
22,ENSG00000141293,15.380665
22,ENSG00000027075,14.951823
22,ENSG00000145703,14.875974
22,ENSG00000185811,14.525409
22,ENSG00000075884,14.420738
22,ENSG00000134954,14.415675
22,ENSG00000152818,14.332795
22,ENSG00000136250,13.120403
