group,names,scores,logfoldchanges,pvals,pvals_adj
0,ENSG00000150867,113.92579,,0.0,0.0
0,ENSG00000165959,110.70578,,0.0,0.0
0,ENSG00000176771,104.301186,,0.0,0.0
0,ENSG00000154493,103.10744,,0.0,0.0
0,ENSG00000115896,100.562454,,0.0,0.0
0,ENSG00000187147,100.459694,,0.0,0.0
0,ENSG00000155849,100.16449,,0.0,0.0
0,ENSG00000147459,100.113716,,0.0,0.0
0,ENSG00000134851,100.05369,,0.0,0.0
0,ENSG00000147488,99.61129,,0.0,0.0
0,ENSG00000070214,99.0871,,0.0,0.0
0,ENSG00000112893,97.14898,,0.0,0.0
0,ENSG00000151552,95.71682,,0.0,0.0
0,ENSG00000164124,95.029495,,0.0,0.0
0,ENSG00000114541,94.96943,,0.0,0.0
0,ENSG00000184588,94.71722,,0.0,0.0
0,ENSG00000081913,92.70463,,0.0,0.0
0,ENSG00000169306,92.58205,,0.0,0.0
0,ENSG00000171877,92.38848,,0.0,0.0
0,ENSG00000135905,92.261795,,0.0,0.0
0,ENSG00000114757,91.33597,,0.0,0.0
0,ENSG00000154678,90.85322,,0.0,0.0
0,ENSG00000168297,90.72496,,0.0,0.0
0,ENSG00000183230,90.37802,,0.0,0.0
0,ENSG00000145416,90.06714,,0.0,0.0
0,ENSG00000183960,89.9051,,0.0,0.0
0,ENSG00000155886,88.98886,,0.0,0.0
0,ENSG00000139737,88.78324,,0.0,0.0
0,ENSG00000146592,88.34602,,0.0,0.0
0,ENSG00000164176,88.25825,,0.0,0.0
0,ENSG00000078269,88.02793,,0.0,0.0
0,ENSG00000157654,87.91572,,0.0,0.0
0,ENSG00000154864,86.48581,,0.0,0.0
0,ENSG00000136960,86.168564,,0.0,0.0
0,ENSG00000198597,84.62882,,0.0,0.0
0,ENSG00000196104,83.775856,,0.0,0.0
0,ENSG00000137941,83.55595,,0.0,0.0
0,ENSG00000197971,83.538216,,0.0,0.0
0,ENSG00000179104,83.23436,,0.0,0.0
0,ENSG00000118515,83.192215,,0.0,0.0
0,ENSG00000084453,83.15483,,0.0,0.0
0,ENSG00000065809,83.050606,,0.0,0.0
0,ENSG00000011426,82.25763,,0.0,0.0
0,ENSG00000158352,82.00247,,0.0,0.0
0,ENSG00000075651,81.62744,,0.0,0.0
0,ENSG00000174607,81.03522,,0.0,0.0
0,ENSG00000152894,80.51782,,0.0,0.0
0,ENSG00000188641,80.45858,,0.0,0.0
0,ENSG00000187164,80.43022,,0.0,0.0
0,ENSG00000091513,80.168335,,0.0,0.0
0,ENSG00000140479,80.098564,,0.0,0.0
0,ENSG00000100142,79.00368,,0.0,0.0
0,ENSG00000103089,78.76966,,0.0,0.0
0,ENSG00000140600,78.75202,,0.0,0.0
0,ENSG00000259070,77.8604,,0.0,0.0
0,ENSG00000158865,77.832405,,0.0,0.0
0,ENSG00000168314,77.57717,,0.0,0.0
0,ENSG00000054690,77.07821,,0.0,0.0
0,ENSG00000286749,76.88729,,0.0,0.0
0,ENSG00000169247,76.77918,,0.0,0.0
0,ENSG00000151572,75.79992,,0.0,0.0
0,ENSG00000182168,75.254616,,0.0,0.0
0,ENSG00000184144,74.274,,0.0,0.0
0,ENSG00000064787,72.98168,,0.0,0.0
0,ENSG00000253877,72.79008,,0.0,0.0
0,ENSG00000167123,72.0086,,0.0,0.0
0,ENSG00000146122,71.43653,,0.0,0.0
0,ENSG00000081479,71.38967,,0.0,0.0
0,ENSG00000141338,70.6794,,0.0,0.0
0,ENSG00000135643,70.37596,,0.0,0.0
0,ENSG00000006042,70.1062,,0.0,0.0
0,ENSG00000198822,68.125206,,0.0,0.0
0,ENSG00000260788,67.1548,,0.0,0.0
0,ENSG00000150656,65.87344,,0.0,0.0
0,ENSG00000164161,65.33368,,0.0,0.0
0,ENSG00000198121,65.28243,,0.0,0.0
0,ENSG00000149571,65.27435,,0.0,0.0
0,ENSG00000224924,65.010376,,0.0,0.0
0,ENSG00000188153,64.94797,,0.0,0.0
0,ENSG00000164627,63.98026,,0.0,0.0
0,ENSG00000227088,62.06353,,0.0,0.0
0,ENSG00000071991,61.969933,,0.0,0.0
0,ENSG00000228624,61.802097,,0.0,0.0
0,ENSG00000164171,60.592976,,0.0,0.0
0,ENSG00000135362,60.439137,,0.0,0.0
0,ENSG00000204655,60.214268,,0.0,0.0
0,ENSG00000188580,60.02239,,0.0,0.0
0,ENSG00000086205,59.938072,,0.0,0.0
0,ENSG00000101542,58.86163,,0.0,0.0
0,ENSG00000080822,58.534203,,0.0,0.0
0,ENSG00000124920,57.98974,,0.0,0.0
0,ENSG00000123560,57.96909,,0.0,0.0
0,ENSG00000144339,57.083576,,0.0,0.0
0,ENSG00000227115,56.921963,,0.0,0.0
0,ENSG00000228793,55.417423,,0.0,0.0
0,ENSG00000169760,54.877747,,0.0,0.0
0,ENSG00000028116,53.92527,,0.0,0.0
0,ENSG00000183580,53.82693,,0.0,0.0
0,ENSG00000253807,51.696514,,0.0,0.0
0,ENSG00000135636,51.547268,,0.0,0.0
0,ENSG00000257585,51.3288,,0.0,0.0
0,ENSG00000096060,49.932434,,0.0,0.0
0,ENSG00000184005,49.875706,,0.0,0.0
0,ENSG00000186417,49.58002,,0.0,0.0
0,ENSG00000099194,46.167763,,0.0,0.0
0,ENSG00000173988,45.728325,,0.0,0.0
0,ENSG00000245532,45.38276,,0.0,0.0
0,ENSG00000170775,44.66334,,0.0,0.0
0,ENSG00000286279,44.050175,,0.0,0.0
0,ENSG00000196569,43.348053,,0.0,0.0
0,ENSG00000185736,43.159523,,0.0,0.0
0,ENSG00000102271,42.235752,,0.0,0.0
0,ENSG00000249853,40.095703,,0.0,0.0
0,ENSG00000178722,39.69005,,0.0,0.0
0,ENSG00000173786,39.45128,,0.0,0.0
0,ENSG00000241163,39.333683,,0.0,0.0
0,ENSG00000021645,39.170345,,0.0,0.0
0,ENSG00000148123,38.951572,,0.0,0.0
0,ENSG00000232310,38.94499,,0.0,0.0
0,ENSG00000251138,38.584106,,0.0,0.0
0,ENSG00000120594,38.445812,,0.0,0.0
0,ENSG00000118785,37.706345,,0.0,0.0
0,ENSG00000197430,36.996223,,1.3170070828983726e-299,1.0795140023757153e-298
0,ENSG00000226994,36.68135,,1.4484772677132244e-294,1.1681268288009875e-293
0,ENSG00000250722,36.463146,,4.258622378848853e-291,3.3798590308324235e-290
0,ENSG00000273507,36.304245,,1.386716055890354e-288,1.0876204359924344e-287
0,ENSG00000207955,36.15773,,2.812947202461921e-286,2.1805792267146675e-285
0,ENSG00000136541,35.387867,,2.624244285508624e-274,1.9367116498218628e-273
0,ENSG00000140873,34.585052,,4.238994188225486e-262,3.0170777140394916e-261
0,ENSG00000180287,33.673546,,1.4103535038842071e-248,9.594241523021818e-248
0,ENSG00000164741,33.262722,,1.3366068656464856e-242,8.793466221358458e-242
