"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000018625",75.1921703610299,3.09813059428561,0.620905355384513,4.98969861899001,6.04735670678745e-07,0.00380620631125202
"ENSG00000140830",7.53468013226979,1.86532635279391,0.380611716735479,4.90086424241713,9.54159760767764e-07,NA
"ENSG00000178031",35.9360980975802,-2.3699844079535,0.505076260877046,-4.69232983517798,2.70111180427742e-06,0.00850039884806103
"ENSG00000233723",73.2377140931022,-1.71566630109709,0.385073872420196,-4.45542121649048,8.37286396815339e-06,0.0147713420221333
"ENSG00000122786",58.5446708252048,1.32746186847325,0.299597379125071,4.43081936280586,9.38757039855943e-06,0.0147713420221333
"ENSG00000254092",16.7068786314711,-3.05015484535358,0.701136340501924,-4.35030202994478,1.35950146423703e-05,0.0171134044318158
"ENSG00000157423",6.92452219585706,-1.63023348923981,0.377390711329937,-4.31974990453479,1.56206126833418e-05,NA
"ENSG00000286021",28.400834147248,-3.44875425036995,0.810997689113841,-4.25248344929111,2.11412845734676e-05,0.0217056425373507
"ENSG00000286757",14.749827004662,2.45471269617215,0.581314915165307,4.22269002933481,2.41403714269868e-05,0.0217056425373507
"ENSG00000287172",30.0400204009375,-2.95376322814977,0.708870188140233,-4.16686055862944,3.08823269704548e-05,0.0234477870744633
"ENSG00000103723",25.6751265182047,-0.680008593990139,0.164457934319412,-4.13484820178647,3.5518933410497e-05,0.0234477870744633
"ENSG00000223351",6.97139715400036,-4.24801507412372,1.02838823337157,-4.13075036865856,3.61581055575163e-05,NA
"ENSG00000138336",12.4140237375656,0.919903987835295,0.223551592430151,4.1149516218397,3.8726062847859e-05,0.0234477870744633
"ENSG00000111885",41.7995132584499,-1.9984579899482,0.487204658082637,-4.10188604889986,4.09796088050677e-05,0.0234477870744633
"ENSG00000174953",35.5322832747048,0.316984628847205,0.0779944201225201,4.06419623800343,4.81982630411917e-05,0.025279988965105
"ENSG00000111404",2.7472997949035,2.27383471096041,0.562872144951139,4.03970019009876,5.35195703497104e-05,NA
"ENSG00000273819",4.51019335210179,-2.45425889045394,0.610485923314798,-4.02017277831383,5.81554744145105e-05,NA
"ENSG00000251680",36.1526611535348,-1.53027327003763,0.381887651603655,-4.00712948850682,6.14611707027018e-05,0.0289096809174969
"ENSG00000160801",4.07471242280073,2.65232189501407,0.665946622249735,3.98278451515208,6.81125083710025e-05,NA
"ENSG00000249421",2.99707582630661,-2.29243226469656,0.576113738890176,-3.97913139359025,6.9167508711745e-05,NA
"ENSG00000110090",8.80876846750233,2.00897189013815,0.505133682191203,3.97710934939735,6.97580915214184e-05,NA
"ENSG00000149654",13.3500565176296,-2.21938166382567,0.558806478648089,-3.97164626508087,7.13776545404518e-05,0.0289096809174969
"ENSG00000108684",188.873847298811,-1.9686360445679,0.496305205039329,-3.96658351469818,7.29102352734188e-05,0.0289096809174969
"ENSG00000163995",33.7813048417415,-1.21589064192056,0.306679880284816,-3.96468995876532,7.34914036669766e-05,0.0289096809174969
"ENSG00000075043",24.3937901972844,-1.3171202015984,0.334272384056711,-3.94026029196282,8.13932459590522e-05,0.0301346523568397
"ENSG00000131097",1.76715052460131,2.84738508549941,0.724343290642433,3.93098841707226,8.45973481010383e-05,NA
"ENSG00000172613",25.0280660772908,-0.727295809299766,0.185679363525294,-3.91694475622592,8.9678288989108e-05,0.0303821875709272
"ENSG00000141668",58.7763206606559,-2.52693683791371,0.646871759625742,-3.9063953562847,9.36831861674008e-05,0.0303821875709272
"ENSG00000150556",6.69848854241474,-2.7772669508441,0.713624724172548,-3.89177512601509,9.95134587959752e-05,NA
"ENSG00000071537",18.2561678492512,0.563713509994708,0.145148055826069,3.88371381749822,0.000102872983461428,0.0303821875709272
"ENSG00000154124",9.18784314577226,0.686652742586353,0.177391972433214,3.87082196092537,0.000108468993215233,NA
"ENSG00000176641",15.2568966330581,2.2967055592851,0.593748939260965,3.86814258926306,0.0001096675328924,0.0303821875709272
"ENSG00000070778",11.1808310614678,0.752904319859638,0.194860905768478,3.86380385993995,0.000111634871956152,0.0303821875709272
"ENSG00000172803",16.8685440033712,-0.959394922081273,0.248598323437908,-3.85921718543247,0.00011375081292342,0.0303821875709272
"ENSG00000112137",367.013616633675,-1.33244245514127,0.345663250193561,-3.85474144096933,0.000115852002177034,0.0303821875709272
"ENSG00000146729",22.7724022145403,0.648888917857659,0.169550584305589,3.82711106844749,0.000129656020291219,0.0314704350037529
"ENSG00000140367",11.188614856422,0.579296911144421,0.15139257646889,3.82645519784429,0.000130001796964979,0.0314704350037529
"ENSG00000127124",96.5972406578839,-0.829901997489657,0.2179757656265,-3.8073131437542,0.000140484812551894,0.0327485707482081
"ENSG00000183324",2.42558882568248,-2.07354325872687,0.545825791045292,-3.79891037166986,0.000145333634003692,NA
"ENSG00000171634",90.9728918234204,0.506015916034212,0.13393835536782,3.77797617900114,0.000158107997772101,0.0355404192134859
"ENSG00000183036",6.7295558595271,-2.41183676406918,0.640732500870807,-3.76418670941665,0.000167092007228306,NA
"ENSG00000278766",12.3755285018793,-1.40387118860068,0.373985214844039,-3.75381467736935,0.000174163648729904,0.0372090157494558
"ENSG00000110075",75.9284746604241,0.41108627545549,0.109644542499607,3.74926344789994,0.000177354698519809,0.0372090157494558
"ENSG00000142611",5.43349641520609,2.87836230809799,0.768228191641139,3.7467543360379,0.000179137366081277,NA
"ENSG00000113749",13.6945054134359,-2.073065869319,0.5559782636573,-3.72868150578782,0.000192484244489024,0.0388150625713701
"ENSG00000079277",15.4859720555522,-0.867586681321871,0.233072694117783,-3.72238663394622,0.000197348523214817,0.0388150625713701
"ENSG00000257986",41.7310731529984,-2.47698607936226,0.667994033034487,-3.70809611593399,0.000208823398293228,0.0388150625713701
"ENSG00000166501",140.553718528588,-1.29481924232344,0.349284506233005,-3.70706177691054,0.000209677808615599,0.0388150625713701
"ENSG00000267564",2.26559409449727,3.55265870308356,0.959172359962108,3.70387935618152,0.000212327267385777,NA
"ENSG00000241956",48.169491868478,-2.32131836500598,0.628061183039337,-3.69600673898134,0.000219017161050458,0.0391785720679188
"ENSG00000197857",19.0297678441501,0.549058749390266,0.14923473761752,3.67916182355259,0.000234001758086877,0.0391785720679188
"ENSG00000186487",213.093560747916,-1.6215953174244,0.440984080206252,-3.67721963265876,0.00023579001086575,0.0391785720679188
"ENSG00000161681",17.02840708798,-1.34370702373111,0.365784763229171,-3.6734909673896,0.000239259138688417,0.0391785720679188
"ENSG00000163814",1.37346638745101,-2.60580743212799,0.709436778573086,-3.67306504375081,0.000239658448843596,NA
"ENSG00000138061",2.3504669792122,-2.03233535732473,0.554066178958915,-3.66803720296276,0.000244419625881776,NA
"ENSG00000072952",10.994661376414,2.72086230970112,0.744935977967151,3.65247805204155,0.000259721800864409,0.0391785720679188
"ENSG00000182601",46.3056176610018,-2.29222965890219,0.627670831642591,-3.6519614156731,0.000260244993042124,0.0391785720679188
"ENSG00000174482",168.335431413948,-1.79563801963405,0.491746521951701,-3.65155204861909,0.00026066025626586,0.0391785720679188
"ENSG00000162664",23.2868153607409,0.421881769097452,0.115559175912884,3.65078554571463,0.000261439470424625,0.0391785720679188
"ENSG00000136153",17.2369206182957,-1.34857598767311,0.370231079587546,-3.64252506617079,0.000269976678858469,0.0395170515519815
"ENSG00000140104",2.42560092039278,-1.24746846831547,0.343474822312201,-3.63190658318933,0.000281334970989227,NA
"ENSG00000232973",8.39419881886652,-1.74486822833985,0.481016109403588,-3.62746318517962,0.000286219569841453,NA
"ENSG00000236922",30.3712622280865,-2.48792620880809,0.688306410087764,-3.61456202113658,0.00030085579053934,0.0407345609601788
"ENSG00000177679",46.4610275256062,-1.35102544870553,0.374170789865605,-3.61071864853692,0.000305349760598889,0.0407345609601788
"ENSG00000286069",4.83636838336648,-2.59723289294704,0.719770818501416,-3.60841649339793,0.000308071641799609,NA
"ENSG00000285519",14.0091450202125,-1.75945611881101,0.487656085840852,-3.60798556584652,0.000308583653084727,0.0407345609601788
"ENSG00000100883",17.5445335596179,0.635946701826807,0.176504881245192,3.60299781705968,0.000314568171432092,0.0407345609601788
"ENSG00000160803",3.24716745132989,0.88962362011411,0.246920696815724,3.60287181911702,0.000314720746978747,NA
"ENSG00000234423",48.2183236489535,-1.85585454541489,0.515142708298034,-3.60260276525392,0.000315046786158803,0.0407345609601788
"ENSG00000231023",6.8436260730188,-3.69601117325836,1.026275860268,-3.60138176912122,0.000316530365366129,NA
"ENSG00000260658",5.64678372473174,-2.65817173265077,0.738685987682436,-3.59851381639249,0.000320040851087549,NA
"ENSG00000163527",29.9402403337854,0.497124557273414,0.138390240151854,3.59219376112018,0.000327905888522056,0.0407345609601788
"ENSG00000145526",177.896439764905,-1.5891837829626,0.442512677679906,-3.59127289029253,0.000329066857172901,0.0407345609601788
