"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000267337",16.6823871300475,-2.23056007909682,0.365018975023922,-6.11080582578109,9.91293177900398e-10,2.14740811900346e-05
"ENSG00000261742",6.06638137440559,1.83514804453439,0.30580344580064,6.00107052335427,1.96020823277358e-09,2.14740811900346e-05
"ENSG00000261303",4.21705736389543,1.74431014045585,0.311166449183679,5.60571406407057,2.07398113453001e-08,0.000151469755525175
"ENSG00000229618",269.908319313905,-1.60443126781842,0.303213287347613,-5.29142796429979,1.21364993398523e-07,0.000585993068659749
"ENSG00000256971",10.8452809120415,-2.4907175690913,0.475305988996267,-5.24024023840116,1.60367683455218e-07,0.000585993068659749
"ENSG00000197584",17.9682863931365,-1.83927755393702,0.350999171756641,-5.2401193562139,1.60472770970265e-07,0.000585993068659749
"ENSG00000197943",13.871804385703,1.99861410386272,0.399077249948312,5.00808829398715,5.49733168856605e-07,0.00157134983016431
"ENSG00000287616",11.2499830024349,2.00247201101979,0.400506357056216,4.99985075327709,5.73747085409149e-07,0.00157134983016431
"ENSG00000119535",8.48882944575046,1.96158552150836,0.397709605487455,4.93220554505876,8.13062915603379e-07,0.00197935649787445
"ENSG00000120738",11.1054023587767,-1.45791352553372,0.299577431100829,-4.86656661743999,1.13553658894608e-06,0.00248796066638087
"ENSG00000260658",20.7729047538738,-1.53991584268803,0.318417782824162,-4.8361490022007,1.3237870625955e-06,0.00263674314013339
"ENSG00000250877",2.27317062961092,-2.09176376714367,0.439515603779202,-4.75924802022388,1.9431554321929e-06,0.00354787795994554
"ENSG00000283445",5.61037672106702,-1.74871208322755,0.369218150449511,-4.73625709109519,2.17701391627582e-06,0.00366910576196948
"ENSG00000237713",10.4689016711613,-1.95123518565664,0.417532988336459,-4.67324795923498,2.96473472487618e-06,0.00463980984443123
"ENSG00000231424",29.0687786682695,-1.61034947850675,0.349167017125268,-4.61197478434516,3.9886138935306e-06,0.0058260353604837
