"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000148655",167.294196060296,-2.77676703134246,0.440095494238062,-6.30946480411003,2.80002030896617e-10,4.88911546148583e-06
"ENSG00000168918",34.7155700102882,-3.19274559046877,0.57565665632304,-5.54626712885102,2.91832860278151e-08,0.000146956867150165
"ENSG00000173068",28.1902773038605,-2.86996899792161,0.521444272128992,-5.50388440590953,3.7151318840518e-08,0.000146956867150165
"ENSG00000164330",27.9352579018963,-3.22263681981723,0.586575908125808,-5.4939808730195,3.9297307056898e-08,0.000146956867150165
"ENSG00000256193",7.84330031651661,-3.52792747973849,0.646772386093502,-5.4546662096184,4.9064922962941e-08,0.000146956867150165
"ENSG00000038427",40.7718067932553,-2.49513231308035,0.457860343578422,-5.44954885933025,5.04977494359422e-08,0.000146956867150165
"ENSG00000138639",102.363556007305,-2.43066560508147,0.448633801195196,-5.41792793723074,6.02937068224949e-08,0.000150398344975369
"ENSG00000112280",7.57685516269325,-2.8925306077963,0.53845906611166,-5.3718672223015,7.7925481163006e-08,0.000170082103323406
"ENSG00000137959",14.1263418907371,-4.20500103206544,0.816519458103871,-5.14990915443746,2.60612658579281e-07,0.000505617514605869
"ENSG00000138185",20.5075407586675,-2.26988212575752,0.447093617247386,-5.07697278197007,3.83495782932638e-07,0.000590450826316125
"ENSG00000151702",35.604644523203,-3.68905082328961,0.727365907214857,-5.07179507136276,3.9408063283383e-07,0.000590450826316125
"ENSG00000139155",16.7380034994114,-3.16766690043281,0.62525207080097,-5.06622376536061,4.05784887222582e-07,0.000590450826316125
"ENSG00000264015",9.46012928627277,-3.37485475518543,0.671085742196031,-5.02894718660198,4.93180193226965e-07,0.000623274960912251
"ENSG00000197360",29.3004431091608,-2.56407661015783,0.51012034955597,-5.02641506536587,4.99733660888352e-07,0.000623274960912251
"ENSG00000137491",27.4321437634876,-2.6991596145732,0.538444085571116,-5.01288747876255,5.36192549984467e-07,0.000624163874351919
"ENSG00000138696",33.6622881896069,-2.57015605110111,0.514872983218055,-4.99182543049189,5.98113025737211e-07,0.00065272822139984
"ENSG00000124440",33.3222276149418,-2.31861305208231,0.470834573529023,-4.92447492694457,8.45871732163803e-07,0.000868809783253657
"ENSG00000254087",22.2992732346667,-2.44241623997936,0.50496421166468,-4.83681057698647,1.31939051766626e-06,0.00127988210160948
"ENSG00000073849",100.902174427946,-2.06923088968399,0.437162126526193,-4.73332606858387,2.20870237580572e-06,0.00202979748336546
"ENSG00000148482",10.1511841607368,-3.12223421848337,0.664068448702178,-4.70167529354136,2.58035606843989e-06,0.00225277986555145
"ENSG00000129667",9.4097118909336,-2.98345132950245,0.638807030054367,-4.670348304164,3.00689461923219e-06,0.00250016128316254
"ENSG00000101096",12.1570787624737,-2.50066152111507,0.538634309880849,-4.64259605309628,3.44058601213361e-06,0.00273073056172113
"ENSG00000102755",16.9658922863033,-2.58222246188051,0.557903438979123,-4.62843976478363,3.68430992017021e-06,0.00279703197896052
"ENSG00000127528",4.17883945244263,-3.18528950084692,0.692594868535381,-4.59906598439403,4.24389358371306e-06,0.00308760941105057
"ENSG00000286757",49.6752745476814,-2.33826901381639,0.51172531557366,-4.56938310975512,4.89161893483483e-06,0.00341650232884604
"ENSG00000073331",8.10837933097603,-2.27348821965411,0.501545877744516,-4.53296163030616,5.81623834243443e-06,0.00390605144989414
"ENSG00000015592",29.1252349577581,0.983661297864159,0.21785100546851,4.51529381628834,6.32290389728575e-06,0.00408904536853728
"ENSG00000164188",32.014885708935,-2.179849611167,0.484903159771183,-4.49543288642547,6.94285547477103e-06,0.00432961426589204
"ENSG00000224445",3.47431574953344,-2.61313380761572,0.585964101930961,-4.45954589880935,8.21334836369957e-06,0.00494528537167442
"ENSG00000122862",9.83357686481636,-3.24932974250939,0.732201529617084,-4.43775328386527,9.09027256101083e-06,0.00529084163959367
"ENSG00000107719",24.6971486672797,-2.36266927962995,0.533402809567157,-4.42942788686696,9.44833990064316e-06,0.00532185364532678
"ENSG00000288011",3.92213729397712,0.909793698151099,0.2066254963083,4.40310472040499,1.0671262343618e-05,0.00582284099318481
"ENSG00000085276",10.5890154989395,-2.6888229000842,0.614359907579691,-4.37662495047404,1.20531107870248e-05,0.00637755658946183
"ENSG00000241743",11.0994142161415,-2.04461563315652,0.468196705437511,-4.36700132532095,1.25963963455172e-05,0.00646899048791401
"ENSG00000236790",58.6107814442116,-2.11061385395673,0.484818056506962,-4.35341428733776,1.34033513702265e-05,0.00668674052215787
"ENSG00000128849",22.5735386254677,-2.74130046289024,0.632627595879499,-4.33319773077429,1.46959006820015e-05,0.00712792005023412
"ENSG00000125257",36.1808820418838,-1.77260078740669,0.410212087957335,-4.32118126073129,1.55196115566576e-05,0.00713675792136954
"ENSG00000163694",11.8902336119002,-1.92748700686911,0.446073125456899,-4.32101128014571,1.55315732782797e-05,0.00713675792136954
"ENSG00000106278",143.50186065598,-1.76737645430226,0.409814462424595,-4.31262587426975,1.61326979515792e-05,0.00722289843416731
"ENSG00000184113",4.61017203477476,-3.96020004509382,0.920339205030019,-4.30297875332242,1.68517015935764e-05,0.00735618903813593
"ENSG00000019582",6.89543735413076,-2.3316259362663,0.542571720139439,-4.29735986915625,1.72844459962563e-05,0.00736106613513736
"ENSG00000114054",27.6921775737933,0.542395758440477,0.126656108627802,4.28242873017983,1.84864352850013e-05,0.00767981790339886
"ENSG00000068078",13.7156823920506,-2.20051763549583,0.515345041185905,-4.26998895813965,1.95482645079584e-05,0.00767981790339886
"ENSG00000067066",17.7753007688697,-2.56724145307002,0.601516313713434,-4.26794983700653,1.97277673836958e-05,0.00767981790339886
"ENSG00000166573",3.49630275842282,-2.83616645091385,0.664639993831359,-4.2672220709509,1.97922115373088e-05,0.00767981790339886
"ENSG00000142611",10.6521875106548,-2.77873232476241,0.65497662405602,-4.24249083510001,2.21052571354612e-05,0.00839086727918018
"ENSG00000106571",16.006620074015,-2.34568874685015,0.556231605720921,-4.21710798653727,2.47455490519901e-05,0.00919323472333614
"ENSG00000234710",2.43838674172112,1.92068374992458,0.456639861026245,4.20612371773254,2.59788054718152e-05,0.00945033171548676
