"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000261303",4.85877773034569,1.65821299278654,0.289068329545658,5.73640493717462,9.67072888724154e-09,0.000232097493293797
"ENSG00000197085",30.6487725603603,-1.6088062378766,0.316631116999225,-5.08101115621095,3.75431066594189e-07,0.00450517279913026
"ENSG00000233491",1.9869854907192,-2.31403514587163,0.46815822386877,-4.94284843860882,7.6989335881122e-07,0.00615914687048976
"ENSG00000254004",18.9869309799574,0.345350316174775,0.0737494915517769,4.68274843538843,2.83053809726799e-06,0.0169832285836079
"ENSG00000158486",10.5197851740085,-0.649408151509579,0.150079766720308,-4.32708662667253,1.51094549069702e-05,0.0725253835534568
"ENSG00000260851",33.2614106269989,0.819272798657787,0.194882979045658,4.20392177228491,2.62329633639517e-05,0.104931853455807
"ENSG00000204104",97.0009120117894,-0.691477065115755,0.166636923519365,-4.14960292420063,3.33052510036771e-05,0.114189432012607
"ENSG00000120738",10.6018787853711,-1.09021999314653,0.267168701191016,-4.08064263623106,4.49113592545841e-05,0.134734077763752
"ENSG00000119508",16.1616838360774,-1.13753028159356,0.28862603468155,-3.94119083141144,8.10780892687945e-05,0.208641210125128
"ENSG00000164483",18.2620230410934,-1.19442336033575,0.304355562510108,-3.92443414040144,8.69338375521365e-05,0.208641210125128
"ENSG00000074181",4.05912374726269,-1.1065398521504,0.290124401215197,-3.81401856415943,0.000136725190827648,0.256045715670106
"ENSG00000251031",63.7847442200103,-1.18543098252154,0.311862405339925,-3.80113461008369,0.000144035022262669,0.256045715670106
"ENSG00000121764",1.63363421235024,-1.19082562030579,0.313666038659841,-3.79647610367277,0.000146767502983089,0.256045715670106
"ENSG00000251002",7.91159455195236,-1.12336784108119,0.297635153210288,-3.77431169996072,0.000160450046333569,0.256045715670106
"ENSG00000250095",8.49106087685961,-1.26620447639152,0.3385664944078,-3.73989894837729,0.000184094248977104,0.256045715670106
"ENSG00000109255",6.44594940939746,1.52597873395607,0.408178910397338,3.73850459954097,0.000185118106671938,0.256045715670106
"ENSG00000122012",23.1405380795216,-1.0844373762599,0.290264383961963,-3.7360332034467,0.000186945994333126,0.256045715670106
"ENSG00000115594",5.72963331508047,-1.11569767032133,0.299173101666514,-3.72927132856012,0.00019203428675258,0.256045715670106
"ENSG00000248125",4.68876498550399,-1.2137795793844,0.328342189666441,-3.69669088403615,0.000218428036943893,0.270277029173007
"ENSG00000286470",5.79416489133426,-0.943602816299438,0.255795576565924,-3.68889419030376,0.000225230857644173,0.270277029173007
"ENSG00000180815",14.755585916622,-1.01398105115444,0.277267464188575,-3.65705025694904,0.000255134371846142,0.291582139252733
"ENSG00000125618",8.18660380609894,-0.98711816133152,0.270829999797233,-3.64478884196937,0.000267611431341675,0.291939743281828
"ENSG00000134183",2.76967687573694,-1.00779468298121,0.277798729352157,-3.62778723045797,0.000285860680209488,0.298289405435988
"ENSG00000253868",10.1212396110708,-1.27120949555993,0.352918198938356,-3.60199473811201,0.000315784757864649,0.298964544361821
"ENSG00000100565",2.80209578177616,0.939303456118526,0.261322105184928,3.59442786309186,0.000325105202339504,0.298964544361821
"ENSG00000144824",42.3834471142344,-1.190594179388,0.333307248520572,-3.57206206787465,0.000354181439004035,0.298964544361821
"ENSG00000105700",15.9179190979893,0.300715394548331,0.0842070623285494,3.57114220865507,0.000355427838237259,0.298964544361821
"ENSG00000157404",24.9771240193522,-1.16124522460639,0.325492263519258,-3.56765845077509,0.000360185574919768,0.298964544361821
"ENSG00000006128",18.9606276884735,1.39102851738752,0.389984035952713,3.56688579313075,0.000361248824437201,0.298964544361821
"ENSG00000095303",3.45135666632525,1.59786075971479,0.450043836945241,3.55045581906104,0.000384564677452753,0.307651741962203
