"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000121966",3.22107232191874,4.48346350097471,4.2692154413363,0.000623358926178737,0.423045713866333,-1.95615763648997
"ENSG00000265533",2.48320442545327,5.83456091102984,4.26031338575351,0.000634864748484073,0.423045713866333,-1.61527382334683
"ENSG00000100311",3.05192344165438,3.0408541953704,4.0886498249787,0.000904350682475994,0.423045713866333,-2.48686631924261
"ENSG00000254303",3.01010885068758,4.06236392674544,3.68323068677585,0.00209894616334621,0.423045713866333,-2.65398920922645
"ENSG00000286797",3.75549983782897,4.14260348449957,3.58824580086475,0.0025585706952281,0.423045713866333,-2.71010261647338
"ENSG00000143603",2.23924749262609,6.12454503923521,3.42882344415362,0.00356760360439908,0.423045713866333,-2.44058447464162
"ENSG00000163823",4.50740832923802,1.92648894792948,3.35513765643761,0.00415979213366375,0.423045713866333,-3.25706488778463
"ENSG00000258867",3.03257988715958,3.49672206265749,3.33335725208646,0.00435286803391548,0.423045713866333,-3.0187033083684
"ENSG00000145936",3.32140987479622,2.57829434916406,3.30007477523581,0.00466523214976879,0.423045713866333,-3.2588931546228
"ENSG00000150361",2.28110581082227,4.1690562694433,3.29948783468119,0.00467093581276101,0.423045713866333,-2.93835645421541
"ENSG00000118523",3.30292441055917,3.27708287165517,3.28709754342415,0.00479296739220092,0.423045713866333,-3.07038371902251
"ENSG00000073737",3.38055850358889,2.53669484752167,3.2682932560057,0.00498423567591541,0.423045713866333,-3.28318780538574
"ENSG00000280870",-2.23974379277027,8.91861329127746,-3.26255911138101,0.00504405196887324,0.423045713866333,-2.60143162645381
"ENSG00000248429",1.97169029225284,5.50761394499601,3.18336337733571,0.00594663759799085,0.423045713866333,-2.79986268802203
"ENSG00000115604",2.78564673374957,3.09718308300594,3.16785440988536,0.00614123966972931,0.423045713866333,-3.3337161901528
"ENSG00000287335",4.50740832923802,2.00837401394795,3.16464829878714,0.00618224639632973,0.423045713866333,-3.37561135078701
"ENSG00000102445",2.24494275883474,4.53975052403729,3.12975891754572,0.00664632920406284,0.423045713866333,-3.06385990693066
"ENSG00000254081",-2.77690684714938,6.95529644876776,-3.12591442623379,0.00669952178508067,0.423045713866333,-3.26111508593183
"ENSG00000259072",-1.4960100400466,10.4388605165222,-3.12324244264041,0.00673673835815544,0.423045713866333,-2.51864338152276
"ENSG00000245832",-3.47945031813717,7.49656077011243,-3.11963113358089,0.00678736213569225,0.423045713866333,-3.25903001979232
"ENSG00000214866",2.89446891340719,3.12119790865758,3.11708937258919,0.00682321737369936,0.423045713866333,-3.28297852348827
"ENSG00000096696",3.42818550191832,2.3605879029971,3.05237987773354,0.00780150850928838,0.423045713866333,-3.42592321592728
"ENSG00000226791",3.23945958757387,2.44247296901556,3.0370156478706,0.00805332378210573,0.423045713866333,-3.42887788405746
"ENSG00000114013",3.12218686637217,2.47347029676032,2.9977275727502,0.00873407665357637,0.423045713866333,-3.45335172063929
"ENSG00000286604",2.9701576298192,3.28272212726235,2.9918107902324,0.00884136905898929,0.423045713866333,-3.3247532024159
"ENSG00000242574",3.08870120199011,2.87135847437346,2.97706799681655,0.00911435480993882,0.423045713866333,-3.46639575108329
"ENSG00000148655",-2.36012687877262,8.24887699640252,-2.95559572139951,0.0095267592314557,0.423045713866333,-3.00932133576003
"ENSG00000169908",3.16920286382899,2.39275530490765,2.94172831753329,0.00980274081201027,0.423045713866333,-3.49343660554117
"ENSG00000143341",2.69783022339644,3.99190913944454,2.84577302399216,0.0119379628430431,0.423045713866333,-3.37095475981328
"ENSG00000148483",3.00464463535836,2.67752599317333,2.83200695750802,0.0122792487423462,0.423045713866333,-3.55841836775865
"ENSG00000255240",2.63203367484828,3.14821468438017,2.79464285474035,0.0132540276415693,0.423045713866333,-3.57777387339117
"ENSG00000149564",2.54317115110574,2.79890550808682,2.79206583510699,0.0133239578990727,0.423045713866333,-3.57798159970925
"ENSG00000165124",-2.11327356332457,9.33465474225873,-2.7638218610363,0.0141142033390525,0.423045713866333,-3.10101418582372
"ENSG00000136167",-2.52899403618656,6.07639278213362,-2.76335545932682,0.0141276263873392,0.423045713866333,-3.58579545147893
"ENSG00000084674",2.66609499235098,2.76805204344258,2.72933761634216,0.0151406690343699,0.423045713866333,-3.62402590398747
"ENSG00000106366",2.26909189740833,3.15884616749742,2.70854275992521,0.0157941219903728,0.423045713866333,-3.6315064503354
"ENSG00000159618",3.00859080433204,2.28642960734008,2.68637759957618,0.0165205673463667,0.423045713866333,-3.66017609455622
"ENSG00000137834",2.60292820209831,2.95845699010164,2.6700952092115,0.0170746084174026,0.423045713866333,-3.66342120883159
"ENSG00000017483",2.94623678682702,2.18448095847252,2.66581496746089,0.0172231950443056,0.423045713866333,-3.72462218243574
"ENSG00000227039",2.94623678682702,2.18448095847252,2.66581496746089,0.0172231950443056,0.423045713866333,-3.72462218243574
"ENSG00000177575",3.19546666307624,2.63223066329408,2.65499328766857,0.0176044333665947,0.423045713866333,-3.68004216471385
