"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000038427",1.52805920588574,7.35483797823482,3.86887255264559,0.000865729226210983,0.827062867772487,-4.37117926751703
"ENSG00000226383",1.70233349044675,4.87003702397314,3.22422695489172,0.00400413230581632,0.827062867772487,-4.44635080188272
"ENSG00000135269",1.41988314051959,1.25127505300179,3.15149411524468,0.00474421602898422,0.827062867772487,-4.49817086910048
"ENSG00000259905",-1.33410684334082,7.83323946305555,-3.14045476332874,0.00486755012131959,0.827062867772487,-4.41809847168173
"ENSG00000162645",-1.32581402116347,3.75814505877426,-3.03239614189078,0.00625044688913068,0.827062867772487,-4.46592955577177
"ENSG00000273118",1.09273251447638,8.63499177545979,2.98177908244616,0.00702180720254797,0.827062867772487,-4.42644724247088
"ENSG00000231389",-1.42112901997841,1.76142859248315,-2.97400706362081,0.00714807013998099,0.827062867772487,-4.49663978358785
"ENSG00000183662",1.07844018890743,9.01440394304518,2.87451790429483,0.00896957858222727,0.827062867772487,-4.42968437468318
"ENSG00000198502",-2.01364066694234,0.25145583979897,-2.85057759718599,0.00947002938996063,0.827062867772487,-4.51857448610848
"ENSG00000178878",1.13397315113041,7.27912854133603,2.83223845660306,0.00987130708955924,0.827062867772487,-4.45566193152223
"ENSG00000133106",-1.13506200985316,4.64654777512164,-2.76403233403536,0.0115105763251513,0.827062867772487,-4.47704833077141
"ENSG00000233420",1.14144052665055,8.0500374686455,2.75459123087144,0.0117569120594808,0.827062867772487,-4.45679364311349
"ENSG00000186047",-0.828126487045451,6.94566791461109,-2.56669260379235,0.0178302629323986,0.827062867772487,-4.4793404886852
"ENSG00000168309",0.953485888555163,8.47636843016317,2.50769099216491,0.0202786872156271,0.827062867772487,-4.47333646500177
"ENSG00000227036",0.842117032226216,9.64642994965422,2.48756556972775,0.0211833409581839,0.827062867772487,-4.45754091522428
"ENSG00000182348",0.840267785580145,8.50514297190302,2.48255316987488,0.0214144355775751,0.827062867772487,-4.47570350963912
"ENSG00000258667",-0.854968148066429,7.50212554586196,-2.47641152439311,0.0217007972347894,0.827062867772487,-4.48266925157167
"ENSG00000286642",-1.12231908256922,4.618482027851,-2.45557920839518,0.0226989157105332,0.827062867772487,-4.50046357758666
"ENSG00000116132",0.932598044872419,7.78438285582919,2.45310350193357,0.0228203310714539,0.827062867772487,-4.48502065584703
"ENSG00000228793",1.96015193419155,8.07514085755595,2.44762760007204,0.023091032683992,0.827062867772487,-4.48627766862351
"ENSG00000154438",-1.17680991566285,1.25864831396632,-2.44166122604116,0.0233893772917975,0.827062867772487,-4.53026223773234
"ENSG00000148498",0.885731326156307,11.0078422602146,2.43924116108801,0.0235114090753815,0.827062867772487,-4.43403852609382
"ENSG00000107249",0.884663097865362,10.6942883695769,2.43806008638736,0.0235711793164132,0.827062867772487,-4.44184729447845
"ENSG00000143772",0.901941500852297,9.77316919280447,2.43662537453416,0.0236439751551774,0.827062867772487,-4.46104804669796
"ENSG00000261210",-0.991722041152659,1.1089102444582,-2.43200757053745,0.023879697957692,0.827062867772487,-4.53253992270451
"ENSG00000258766",-1.11089280899437,5.08843164346862,-2.43114349975058,0.023924047406548,0.827062867772487,-4.50092533775894
"ENSG00000153404",1.12565014588999,1.93590830045168,2.42717720608111,0.0241286049127119,0.827062867772487,-4.52805676011261
"ENSG00000171643",-1.19261379567652,3.00588080850671,-2.42087565054528,0.0244569421119676,0.827062867772487,-4.51545798778104
"ENSG00000151388",-1.01795018741057,3.95133641343596,-2.3985841789419,0.0256519652254397,0.827062867772487,-4.50907824827168
"ENSG00000287216",-1.84482482024397,1.13755303991597,-2.37226521976783,0.027132418992573,0.827062867772487,-4.53306680760677
