"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000197430",-3.17421793498298,3.76199501885446,-3.45014527464526,0.00312840964459913,0.998926471274974,-4.56391708821155
"ENSG00000178722",-2.78140827842735,3.31526829212518,-3.10926133824756,0.00648953023494457,0.998926471274974,-4.5686798615385
"ENSG00000110876",3.43448986315441,1.55902866389418,2.85575606055508,0.0110939467107299,0.998926471274974,-4.57308110594874
"ENSG00000250072",1.7615955539577,2.63744531522387,2.71076043912677,0.0150181109127288,0.998926471274974,-4.57322874247616
"ENSG00000026508",-2.66718914426362,3.06551011966875,-2.5944217267936,0.0190998956615505,0.998926471274974,-4.57489030652488
"ENSG00000182177",2.2958876185331,2.10858592250673,2.56476454876429,0.0202987311323453,0.998926471274974,-4.57564471947706
"ENSG00000105877",-2.7578878153135,4.62334043124244,-2.5445049312973,0.0211584811458613,0.998926471274974,-4.5737655861458
"ENSG00000140022",-2.07459877407695,3.42906349705162,-2.4866165169764,0.0238095955193546,0.998926471274974,-4.57732806088828
"ENSG00000171522",2.53348357734006,1.30295014689907,2.47208263664751,0.0245229827011301,0.998926471274974,-4.57890894594818
"ENSG00000178878",-2.55981551541909,5.35230648338725,-2.45828337236989,0.0252189634270658,0.998926471274974,-4.57449820438029
"ENSG00000280870",-1.35714385223729,6.42409873075314,-2.34172786988056,0.0318857764967333,0.998926471274974,-4.56860294704794
"ENSG00000136826",2.71535421774406,0.999578179786042,2.34115758297884,0.0319221258715176,0.998926471274974,-4.58090045136122
"ENSG00000203805",-1.92609412221105,2.93608046689999,-2.33783046819379,0.0321349654585228,0.998926471274974,-4.57937313587548
"ENSG00000154188",1.74196053310564,2.58451102685227,2.30691562034564,0.034176989925241,0.998926471274974,-4.57844483366549
"ENSG00000069431",-1.84840562249276,3.10474602150098,-2.29090143745294,0.0352817456195441,0.998926471274974,-4.58006792241271
"ENSG00000116741",-1.73048006326962,3.87885846993733,-2.28567440418476,0.0356494756147246,0.998926471274974,-4.57974181661037
"ENSG00000262655",-2.01184607671525,4.51865746094337,-2.27478277815813,0.0364272015907991,0.998926471274974,-4.57834118769558
"ENSG00000140379",2.10938249034312,1.99230528061327,2.25932258992009,0.0375582536257187,0.998926471274974,-4.58030328500135
"ENSG00000110799",-1.98721607233802,4.73772668899186,-2.23070671999079,0.0397381761040396,0.998926471274974,-4.57725187848043
"ENSG00000077984",2.37722262038712,1.0964927109489,2.21486900509226,0.0409944652035464,0.998926471274974,-4.58231237264208
"ENSG00000107165",2.45855485590485,1.3762525251358,2.20693296566512,0.0416376871943324,0.998926471274974,-4.58110038405913
"ENSG00000267452",1.75473176250768,5.18803571794688,2.18979394547878,0.0430587313721538,0.998926471274974,-4.57286864395122
"ENSG00000158270",-1.79398905040182,3.13402317681681,-2.15382812574545,0.0461871539996563,0.998926471274974,-4.58190137460186
"ENSG00000282728",2.41036455118889,0.990828544234159,2.14358537024839,0.0471155764355665,0.998926471274974,-4.58317604460091
"ENSG00000287704",-1.72976985158708,3.63553814334357,-2.1354088118475,0.0478689725834045,0.998926471274974,-4.58174911138359
"ENSG00000174607",-1.60788340215533,4.3013737546381,-2.13483022276659,0.0479227006062749,0.998926471274974,-4.58066573231582
"ENSG00000287326",2.3235485487283,1.98060299199407,2.13069547756706,0.0483082666005529,0.998926471274974,-4.58094625495082
"ENSG00000286438",-3.54626861330461,4.63251686346445,-2.11998425151358,0.0493203454022111,0.998926471274974,-4.58104997620373
"ENSG00000152207",2.29497241278152,1.2140552313174,2.11829647629796,0.049481578122399,0.998926471274974,-4.58267973883667
"ENSG00000107438",1.858452979668,1.61568621490833,2.0770250148419,0.0535772864615369,0.998926471274974,-4.58330121803414
"ENSG00000140873",-1.53995540382995,2.76614575217596,-2.07524655463833,0.0537605348136572,0.998926471274974,-4.58298513508512
"ENSG00000258932",-1.71754085737337,6.00579810496845,-2.03851584864234,0.0576749732035189,0.998926471274974,-4.57870506983959
"ENSG00000239941",1.81735904426186,1.27058835842106,2.0279866960031,0.058843833919754,0.998926471274974,-4.5841637801711
"ENSG00000260192",-1.83639619948422,3.67342252995626,-2.0192106816619,0.0598344259224619,0.998926471274974,-4.58324625852824
"ENSG00000251165",-1.6553096777192,4.52816508446226,-2.01454174750025,0.0603675588964718,0.998926471274974,-4.58179912329295
"ENSG00000259647",2.69482206489727,1.69481534047863,1.99430490997953,0.0627283345432326,0.998926471274974,-4.5837415593525
"ENSG00000073282",1.38322918817927,2.45096340096845,1.98219705205417,0.0641803245823238,0.998926471274974,-4.58337272972691
"ENSG00000276476",-1.53315352189946,3.07424311789967,-1.9758099850373,0.0649584069670971,0.998926471274974,-4.58394416799819
"ENSG00000115523",1.64800243792503,2.52575269513683,1.96367740838995,0.066459830843164,0.998926471274974,-4.5836797609664
"ENSG00000250979",1.64082148044541,2.40402316101715,1.96098785574648,0.0667968617778694,0.998926471274974,-4.58357922862279
"ENSG00000182256",0.677589296863699,9.70381772639715,1.95983571522477,0.066941707004805,0.998926471274974,-4.54272148912206
"ENSG00000286856",-1.52949466958105,3.51759639943739,-1.94522426419032,0.0688032560855541,0.998926471274974,-4.58438405156003
"ENSG00000140470",-1.37295329381134,7.01989782587233,-1.90795442011473,0.0737632893186352,0.998926471274974,-4.57838958800459
"ENSG00000255733",-1.34224794098905,2.59544131007032,-1.89900609014035,0.0750007057306482,0.998926471274974,-4.58532055436797
"ENSG00000229751",-2.52180860197624,5.63371750406488,-1.88967440444197,0.0763108031721185,0.998926471274974,-4.5828870558548
"ENSG00000146122",-1.74996944434698,4.23385858975787,-1.88611578112708,0.0768157466404194,0.998926471274974,-4.58395075304176
"ENSG00000165092",2.0163892878194,4.57109962126697,1.8843577203394,0.0770662980765992,0.998926471274974,-4.58167201145709
"ENSG00000154133",2.25633698022797,1.05555212119019,1.88149506163714,0.077475827349265,0.998926471274974,-4.5862205379504
"ENSG00000168229",-1.361121182908,2.45217704066029,-1.86222723610391,0.0802829191426669,0.998926471274974,-4.58574863664959
"ENSG00000101958",-1.57608785293837,5.67192952614183,-1.86122636844554,0.0804311676004433,0.998926471274974,-4.58273428269812
"ENSG00000153162",-1.74707586966091,3.55851811081287,-1.84912487208647,0.0822429298236277,0.998926471274974,-4.5849416265269
"ENSG00000224184",-1.49887899797155,3.50584946415491,-1.84335928432929,0.0831187514853268,0.998926471274974,-4.58538540646792
"ENSG00000198121",-2.20244668381805,3.98523177205419,-1.83452496887366,0.0844767250148862,0.998926471274974,-4.58557083944059
"ENSG00000283413",1.58720383999336,1.27877880827343,1.82685351920368,0.0856717997570573,0.998926471274974,-4.58674370037091
"ENSG00000017483",1.78460120121132,1.77844575717051,1.82409698319655,0.086104846480552,0.998926471274974,-4.58621767930009
"ENSG00000105122",2.90337690263233,1.24233451116062,1.80376475415095,0.0893590087722791,0.998926471274974,-4.58720324351058
"ENSG00000182348",1.32889909812945,9.57766564811519,1.7918965322085,0.091308069044909,0.998926471274974,-4.55418977601773
"ENSG00000084674",2.02006709699168,1.06666211248415,1.77889286573194,0.0934863178884079,0.998926471274974,-4.58736708146312
"ENSG00000213949",1.20678797341952,3.5252282492414,1.76956940628753,0.0950759712162328,0.998926471274974,-4.58493072276752
"ENSG00000166926",2.11024139382157,0.779500210804671,1.76817797951605,0.0953152256044218,0.998926471274974,-4.58760285776372
"ENSG00000166069",1.73739932995787,1.11509110759576,1.75834887934458,0.0970203615897595,0.998926471274974,-4.58756281400394
"ENSG00000146648",-1.40442914944497,4.05563127504222,-1.75623776558005,0.0973900480447838,0.998926471274974,-4.58568811331589
"ENSG00000250195",-1.41628060419131,6.22934990731887,-1.75255985600248,0.0980370384422341,0.998926471274974,-4.58244985994211
"ENSG00000276644",1.76770269850734,7.11840216301119,1.75086009832958,0.0983373110435477,0.998926471274974,-4.57784716811083
"ENSG00000185008",0.451734588445794,12.4411453147337,1.74876787987036,0.0987080144719988,0.998926471274974,-4.49293578413993
