"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000160801",1.57482142877059,3.41890002376849,3.5100251131401,0.00312991814206662,0.822227637108372,-4.49994181217412
"ENSG00000026508",-1.81493409245961,4.91023078439418,-3.24618528928317,0.00538603036618674,0.822227637108372,-4.52688952143295
"ENSG00000286797",2.3610595057418,4.64589191928315,3.20265339516461,0.00588979496391768,0.822227637108372,-4.52126714201734
"ENSG00000273409",1.61085875640764,3.03599941212196,3.15991231485256,0.00642974728495025,0.822227637108372,-4.50993050070219
"ENSG00000251031",1.79716003172114,5.60140857800682,3.06638059416761,0.00778782550190608,0.822227637108372,-4.53749003152536
"ENSG00000226383",1.97296203986048,4.88404960140538,2.81851589012418,0.0129005918785539,0.822227637108372,-4.53715226434188
"ENSG00000254081",-2.81215676132618,5.75627523178612,-2.80446884329829,0.013272568750353,0.822227637108372,-4.54378461073287
"ENSG00000173369",-1.23410870919781,3.90792753151887,-2.68391613117658,0.0169228313733635,0.822227637108372,-4.53636429947397
"ENSG00000235448",-2.77927710347432,7.20493665299512,-2.62820060495606,0.0189212674074768,0.822227637108372,-4.55459907511738
"ENSG00000144218",1.93574913736177,9.81412111893369,2.62253586421833,0.0191367310274117,0.822227637108372,-4.56462899367036
"ENSG00000151789",1.69745335414347,8.77359203989088,2.58101661706461,0.0207894767548262,0.822227637108372,-4.56174287222046
"ENSG00000013588",2.27507046601358,3.52905710082616,2.5506174018114,0.0220854692874246,0.822227637108372,-4.53887846268804
"ENSG00000288016",1.63570039571109,3.61038259934647,2.45765060237763,0.0265452135698348,0.822227637108372,-4.5418188874027
"ENSG00000112562",1.20960013992743,3.18401078602336,2.44969532632227,0.0269642984666532,0.822227637108372,-4.54009060708656
"ENSG00000229105",-2.60973341283202,6.3099569018094,-2.42219821250683,0.0284617408410594,0.822227637108372,-4.55687827468547
"ENSG00000010379",1.33768956761954,3.93837963448969,2.39424668926886,0.0300644827912937,0.822227637108372,-4.54522908985309
"ENSG00000173391",1.03036636807343,2.97971085649621,2.36028068783426,0.0321269825712868,0.822227637108372,-4.54238436659035
"ENSG00000286071",-1.91312784948031,6.71956729307697,-2.35990157997119,0.0321507390210132,0.822227637108372,-4.56137194897772
"ENSG00000231535",1.98910076928377,4.75770295984622,2.34462956551896,0.0331216304044005,0.822227637108372,-4.55468670196066
"ENSG00000019582",-1.02502575089213,6.45312445826171,-2.31937676578275,0.0347878223916078,0.822227637108372,-4.56202192992994
"ENSG00000158270",-1.56631749505823,5.38766374952576,-2.31491952006216,0.0350899739968101,0.822227637108372,-4.55683541489535
"ENSG00000259134",0.926364494976887,3.18261209765259,2.31483689458298,0.0350955982850534,0.822227637108372,-4.54500684084995
"ENSG00000259905",-1.90108946955635,7.08722922411094,-2.28928561910257,0.0368760391926277,0.822227637108372,-4.56396390334627
"ENSG00000110876",1.20023965404504,2.77918550492067,2.278615393258,0.0376443261023211,0.822227637108372,-4.545468609558
"ENSG00000198216",-1.63884265513064,7.31587171049895,-2.23855843905274,0.0406641901032659,0.822227637108372,-4.5664090148239
"ENSG00000261008",-2.63080269265912,9.84318247130285,-2.21733051652742,0.0423547517056755,0.822227637108372,-4.57254009411639
"ENSG00000005020",1.09970278853337,8.24931084056032,2.21567514074483,0.0424892973571983,0.822227637108372,-4.56872777406447
"ENSG00000141255",-3.61036547745889,7.9110201909112,-2.2036981701097,0.0434746722173039,0.822227637108372,-4.56823574426459
"ENSG00000255650",-3.22486360634892,7.64014349715051,-2.18646672166993,0.0449296507479216,0.822227637108372,-4.56792940136123
"ENSG00000042980",1.19879335110272,4.57580099824157,2.17629374525627,0.04580971554863,0.822227637108372,-4.55785782139387
"ENSG00000287326",-3.24469134488738,7.94461867666718,-2.15677068271894,0.0475435674398915,0.822227637108372,-4.57011102733169
"ENSG00000227191",1.86737300479809,4.93906573891602,2.13823476931045,0.0492457496492057,0.822227637108372,-4.56112780041703
"ENSG00000224689",0.804510820005566,2.78708373323088,2.13061779179711,0.0499614085407436,0.822227637108372,-4.55181228490659
"ENSG00000229294",-3.51768973648576,9.58717461277498,-2.12644965037604,0.0503570800100344,0.822227637108372,-4.57419636011399
"ENSG00000136235",-0.918957447984153,4.09367596429514,-2.11824555956312,0.0511443278401706,0.822227637108372,-4.55782743287693
"ENSG00000173198",1.58307891493518,5.02475560798997,2.10243758675517,0.0526932868267388,0.822227637108372,-4.56394149890356
"ENSG00000273802",-1.39973681874189,3.8776986124133,-2.09412854695383,0.0535246519535437,0.822227637108372,-4.55750110173813
"ENSG00000180347",-2.35499247964478,6.26192734686865,-2.08883328987215,0.0540607431856347,0.822227637108372,-4.56731377241357
"ENSG00000147251",-1.84823250756493,6.29690256686843,-2.08428443844699,0.0545252016117119,0.822227637108372,-4.5675110060544
"ENSG00000115523",1.99193925699668,4.80747211771776,2.06374613538612,0.0566681878678625,0.822227637108372,-4.56430192562072
"ENSG00000145685",1.18328826169705,8.71321051405494,2.05852996298819,0.0572246011327397,0.822227637108372,-4.57346790237945
"ENSG00000188316",-3.58278698688306,9.86325471552722,-2.0413302978827,0.0590949089073459,0.822227637108372,-4.5764625196246
"ENSG00000229308",1.76111982652815,5.1516407538293,2.02443141079577,0.0609867351044613,0.822227637108372,-4.56705218841747
"ENSG00000172159",0.946288954852133,7.9242928224481,2.00760705006176,0.0629249137394274,0.822227637108372,-4.57341260955172
"ENSG00000259072",-3.02284718628282,8.68824797626178,-2.00563720938067,0.0631554700776474,0.822227637108372,-4.57511678229561
"ENSG00000109794",1.01124881709075,3.89751031059934,2.00266766317966,0.0635044876676339,0.822227637108372,-4.56107716890711
"ENSG00000286271",-2.09730074351395,6.18247198312892,-2.00071848631169,0.0637345314265784,0.822227637108372,-4.56932167458152
"ENSG00000255311",-2.92436077391721,9.64508829530624,-2.000643929555,0.0637433457131059,0.822227637108372,-4.5766971599169
"ENSG00000253557",1.14602152170102,3.34323708478557,1.9948642578487,0.0644300146432022,0.822227637108372,-4.55869648577632
"ENSG00000254251",-2.34169769108227,6.74163474512709,-1.99145542460337,0.0648381539008385,0.822227637108372,-4.57087875832456
"ENSG00000111348",1.3328813431655,3.45563886741321,1.99107598757251,0.0648837287791759,0.822227637108372,-4.559815087193
"ENSG00000287069",-2.97898346614425,9.02585555890394,-1.97270083545306,0.0671259048561502,0.822227637108372,-4.57641900462915
"ENSG00000030304",-2.70420899390341,7.7377084927782,-1.96860557283861,0.0676350901796802,0.822227637108372,-4.57372909522608
"ENSG00000253807",-2.20312191704772,9.31418750605907,-1.96561877129768,0.0680086576586666,0.822227637108372,-4.57711572957488
"ENSG00000172578",1.18797619555818,4.07764664261227,1.96295196937071,0.0683437790624239,0.822227637108372,-4.56310437428283
"ENSG00000266846",-2.40579824280369,8.92680686466286,-1.96104290512985,0.0685845969576721,0.822227637108372,-4.57633265882588
"ENSG00000140479",-2.40840098919047,9.61329705792225,-1.9606795760005,0.0686305157766168,0.822227637108372,-4.57743306688106
"ENSG00000285885",-2.43354956015652,6.00813282764032,-1.96030875776328,0.068677409769991,0.822227637108372,-4.57019871231417
"ENSG00000080618",-2.99347185664478,7.51878511131387,-1.95379276092327,0.0695061705546498,0.822227637108372,-4.57355430373109
"ENSG00000248529",-2.64586517907551,6.8220692528559,-1.94205218818066,0.0710222812529677,0.822227637108372,-4.57243120102281
"ENSG00000286642",-2.73731911718567,6.80996371422678,-1.93835187638563,0.0715062682161357,0.822227637108372,-4.57261900116278
"ENSG00000187912",0.758943505284138,2.71797572271294,1.92576527588985,0.0731748923737828,0.822227637108372,-4.56046090977535
"ENSG00000184838",1.36183455056382,4.86390104489936,1.92412459267743,0.0733949648421432,0.822227637108372,-4.56806189275682
"ENSG00000185477",0.95766796107542,4.12905836908625,1.92151716808978,0.0737459369787691,0.822227637108372,-4.56530192064091
"ENSG00000131095",1.17061878256512,6.57258442997207,1.91846101985229,0.074159231768943,0.822227637108372,-4.57371861408826
"ENSG00000287216",0.850012771728989,2.93547725946094,1.91445495628842,0.0747041427637816,0.822227637108372,-4.56123963887233
"ENSG00000239828",-2.48991737086349,8.55589748402543,-1.91327263957736,0.0748656499997296,0.822227637108372,-4.57674791051066
"ENSG00000225101",1.05777759003367,2.93638414815102,1.90823531560123,0.0755572832692372,0.822227637108372,-4.56145232520611
"ENSG00000198732",-1.66371405766588,7.27979920318039,-1.90702635966736,0.0757241269261347,0.822227637108372,-4.57500008825282
"ENSG00000249042",-2.0313755530692,10.4839816663525,-1.89862004453321,0.0768934298632063,0.822227637108372,-4.57998535532855
